epoch,accuracy,loss,val_accuracy,val_loss
0,0.973642885684967,0.21619011461734772,0.9918333292007446,0.06569091975688934
1,0.9916964173316956,0.047241512686014175,0.9922916889190674,0.03940046578645706
2,0.9933839440345764,0.032114237546920776,0.9942916631698608,0.029392912983894348
3,0.9944375157356262,0.026605257764458656,0.9949583411216736,0.02605697326362133
4,0.9949017763137817,0.023503512144088745,0.9942083358764648,0.025619521737098694
5,0.9955714344978333,0.021053504198789597,0.9928333163261414,0.028031697496771812
6,0.9961339235305786,0.018913602456450462,0.9951249957084656,0.022404829040169716
7,0.9963482022285461,0.01795208267867565,0.9936249852180481,0.02589779905974865
8,0.9970446228981018,0.016302477568387985,0.9957916736602783,0.01991485245525837
9,0.997026801109314,0.015531945042312145,0.9934166669845581,0.02579285204410553
10,0.9974642992019653,0.01408698596060276,0.9948333501815796,0.022222602739930153
11,0.9974464178085327,0.013566561974585056,0.9958750009536743,0.019251877442002296
12,0.9977678656578064,0.012777031399309635,0.9955416917800903,0.019179314374923706
13,0.9980446696281433,0.012236010283231735,0.9961249828338623,0.017121024429798126
14,0.998035728931427,0.01145274005830288,0.9950000047683716,0.02079232968389988
15,0.9980714321136475,0.010972494259476662,0.9962499737739563,0.01655152253806591
16,0.998410701751709,0.010077124461531639,0.9961666464805603,0.01615631952881813
17,0.9985625147819519,0.00974266417324543,0.9962499737739563,0.01611064188182354
18,0.9984910488128662,0.00976426713168621,0.9957083463668823,0.016787448897957802
19,0.9986249804496765,0.009120691567659378,0.9959583282470703,0.016344668343663216
20,0.9987589120864868,0.008548153564333916,0.9954583048820496,0.017169609665870667
21,0.9987232089042664,0.008840210735797882,0.9959999918937683,0.016356289386749268
22,0.999419629573822,0.006104351487010717,0.9965000152587891,0.013640334829688072
23,0.999544620513916,0.005225370172411203,0.9959999918937683,0.014622132293879986
24,0.9996964335441589,0.00448633311316371,0.9957916736602783,0.01505487971007824
25,0.9996428489685059,0.004575617611408234,0.9971250295639038,0.011533309705555439
26,0.9997857213020325,0.004101042170077562,0.9961666464805603,0.013290251605212688
27,0.999750018119812,0.003916452173143625,0.996666669845581,0.01188395731151104
28,0.9997678399085999,0.003788685891777277,0.9965000152587891,0.012461640872061253
29,0.9998124837875366,0.003674851730465889,0.996791660785675,0.011784770525991917
