epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9828839302062988,0.23032377660274506,1e-04,0.9949583411216736,0.07669835537672043
1,0.993571400642395,0.04811231419444084,1e-04,0.9951666593551636,0.03083094023168087
2,0.9949464201927185,0.026879779994487762,1e-04,0.997083306312561,0.02034980244934559
3,0.9957500100135803,0.020199233666062355,1e-04,0.9952083230018616,0.017985571175813675
4,0.9962767958641052,0.01678970456123352,1e-04,0.9974166750907898,0.013812525197863579
5,0.9966250061988831,0.014587420038878918,1e-04,0.9971250295639038,0.013168091885745525
6,0.9968839287757874,0.013184784911572933,1e-04,0.9980416893959045,0.010888281278312206
7,0.9969106912612915,0.012452583760023117,1e-04,0.9974166750907898,0.011132299900054932
8,0.9972321391105652,0.011526355519890785,1e-04,0.9975000023841858,0.010770125314593315
9,0.9971607327461243,0.011195903643965721,1e-04,0.9977499842643738,0.009920915588736534
10,0.9975446462631226,0.01016166154295206,1e-04,0.9975833296775818,0.009436404332518578
11,0.9975446462631226,0.010029765777289867,1e-04,0.9974166750907898,0.009656596928834915
12,0.9975267648696899,0.009529830887913704,1e-04,0.997083306312561,0.010289936326444149
13,0.9979285597801208,0.008930298499763012,1e-04,0.9973750114440918,0.009503782726824284
14,0.9978214502334595,0.008800382725894451,1e-04,0.9978749752044678,0.008581150323152542
15,0.9978749752044678,0.008341396227478981,1e-04,0.996666669845581,0.010666610673069954
16,0.9978749752044678,0.008377885445952415,1e-04,0.9972083568572998,0.009476452134549618
17,0.9981160759925842,0.007901008240878582,1e-04,0.9978333115577698,0.008380661718547344
18,0.9980446696281433,0.007617082446813583,1e-04,0.9975833296775818,0.008623342961072922
19,0.998285710811615,0.007154538296163082,1e-04,0.9976666569709778,0.008448502980172634
20,0.9982946515083313,0.007083198521286249,1e-04,0.9978333115577698,0.007689461577683687
21,0.9984553456306458,0.006614106707274914,1e-04,0.9973333477973938,0.009080795571208
22,0.9983839392662048,0.006683929357677698,1e-04,0.9975416660308838,0.00814745482057333
23,0.9983571171760559,0.0064604259096086025,1e-04,0.9975000023841858,0.008278102613985538
24,0.998410701751709,0.006133035756647587,1e-04,0.9976666569709778,0.008179884403944016
25,0.998589277267456,0.005948788020759821,1e-04,0.9981250166893005,0.006605327595025301
26,0.998535692691803,0.005847969092428684,1e-04,0.9979583621025085,0.00698231952264905
27,0.9984642863273621,0.00604218477383256,1e-04,0.9962916374206543,0.012176434509456158
28,0.9984910488128662,0.005798010621219873,1e-04,0.9977916479110718,0.006991675589233637
29,0.9985089302062988,0.00553403003141284,1e-04,0.9978749752044678,0.006965181324630976
