epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,0.003625900484621525,0.001,0.03531961888074875,0.003625900484621525,0.0005358819616958499,0.016907107084989548,0.0005358819616958499
1,0.00039261815254576504,0.001,0.013660632073879242,0.00039261815254576504,0.00027102339663542807,0.010752144269645214,0.00027102339663542807
2,0.00027809306629933417,0.001,0.010604091919958591,0.00027809306629933417,0.0001416877203155309,0.007883728481829166,0.0001416877203155309
3,0.00014543856377713382,0.001,0.007863498292863369,0.00014543856377713382,0.00014256071881391108,0.008061084896326065,0.00014256071881391108
4,0.0001195108488900587,0.001,0.007143347058445215,0.0001195108488900587,6.572438724106178e-05,0.005219865590333939,6.572438724106178e-05
5,0.00010282757284585387,0.001,0.0065799313597381115,0.00010282757284585387,7.859015750000253e-05,0.0059850504621863365,7.859015750000253e-05
6,9.656494512455538e-05,0.001,0.006265142932534218,9.656494512455538e-05,8.711430564289913e-05,0.00640813447535038,8.711430564289913e-05
7,8.556949615012854e-05,0.001,0.00595164205878973,8.556949615012854e-05,0.00013484225200954825,0.00792970322072506,0.00013484225200954825
8,4.9728656449588016e-05,0.0005,0.004343895241618156,4.9728656449588016e-05,5.3164170822128654e-05,0.0046181087382137775,5.3164170822128654e-05
9,5.2669587603304535e-05,0.0005,0.004504232667386532,5.2669587603304535e-05,5.4970794735709205e-05,0.004648116882890463,5.4970794735709205e-05
10,5.0882725190604106e-05,0.0005,0.00440705893561244,5.0882725190604106e-05,4.835147046833299e-05,0.004320886451750994,4.835147046833299e-05
11,4.9122758355224505e-05,0.0005,0.0042999982833862305,4.9122758355224505e-05,6.52841990813613e-05,0.004896104801446199,6.52841990813613e-05
12,4.805908247362822e-05,0.0005,0.00425095297396183,4.805908247362822e-05,5.536946264328435e-05,0.004563626833260059,5.536946264328435e-05
13,3.871295120916329e-05,0.00025,0.003667929908260703,3.871295120916329e-05,3.7563397199846804e-05,0.003587479004636407,3.7563397199846804e-05
14,3.92887341149617e-05,0.00025,0.0037256323266774416,3.92887341149617e-05,4.142506077187136e-05,0.0037380866706371307,4.142506077187136e-05
15,3.878270581481047e-05,0.00025,0.003697060514241457,3.878270581481047e-05,3.6464716686168686e-05,0.0035143920686095953,3.6464716686168686e-05
16,3.821984137175605e-05,0.00025,0.003660745220258832,3.821984137175605e-05,3.6217927117832005e-05,0.0035828538239002228,3.6217927117832005e-05
17,3.7779875128762797e-05,0.00025,0.0036425478756427765,3.7779875128762797e-05,3.540951729519293e-05,0.0034971069544553757,3.540951729519293e-05
18,3.725455098901875e-05,0.00025,0.0036137031856924295,3.725455098901875e-05,4.2987041524611413e-05,0.004037050064653158,4.2987041524611413e-05
19,3.444377216510475e-05,0.000125,0.003400360234081745,3.444377216510475e-05,3.457248749327846e-05,0.003429331351071596,3.457248749327846e-05
20,3.440805812715553e-05,0.000125,0.0034116292372345924,3.440805812715553e-05,3.425493196118623e-05,0.0034283900167793036,3.425493196118623e-05
21,3.3907988836290315e-05,0.000125,0.0033847172744572163,3.3907988836290315e-05,3.354152067913674e-05,0.003404041985049844,3.354152067913674e-05
22,3.3263986551901326e-05,0.000125,0.003347951453179121,3.3263986551901326e-05,3.290728636784479e-05,0.0033567440696060658,3.290728636784479e-05
23,3.255051342421211e-05,0.000125,0.0033062368165701628,3.255051342421211e-05,3.248201392125338e-05,0.00333370640873909,3.248201392125338e-05
24,3.1223305995808914e-05,6.25e-05,0.003207848407328129,3.1223305995808914e-05,3.098925299127586e-05,0.00320857553742826,3.098925299127586e-05
25,3.0930306820664555e-05,6.25e-05,0.0031937826424837112,3.0930306820664555e-05,3.062311952817254e-05,0.003186547663062811,3.062311952817254e-05
26,3.058277434320189e-05,6.25e-05,0.0031725778244435787,3.058277434320189e-05,3.0287226763903163e-05,0.003161923959851265,3.0287226763903163e-05
27,3.028771243407391e-05,6.25e-05,0.0031547523103654385,3.028771243407391e-05,3.0006412998773158e-05,0.0031405934132635593,3.0006412998773158e-05
28,3.0029204935999587e-05,6.25e-05,0.003139462321996689,3.0029204935999587e-05,2.9742728656856343e-05,0.003126634983345866,2.9742728656856343e-05
29,2.9592423743451945e-05,3.125e-05,0.003106100019067526,2.9592423743451945e-05,2.9520708267227747e-05,0.0031037500593811274,2.9520708267227747e-05
