epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9128749966621399,0.1909564882516861,1e-04,0.9497500061988831,0.11511892825365067
1,0.9680625200271606,0.0832495167851448,1e-04,0.9724166393280029,0.0669228583574295
2,0.9844375252723694,0.04493330419063568,1e-04,0.9786249995231628,0.050865188241004944
3,0.9883214235305786,0.03450167924165726,1e-04,0.987458348274231,0.034294918179512024
4,0.990348219871521,0.028639154508709908,1e-04,0.9882916808128357,0.03081221505999565
5,0.9919821619987488,0.024613888934254646,1e-04,0.9907500147819519,0.026491699740290642
6,0.9928482174873352,0.022310514003038406,1e-04,0.9937916398048401,0.020160000771284103
7,0.993071436882019,0.020501263439655304,1e-04,0.9915833473205566,0.0314953438937664
8,0.9938839077949524,0.018858950585126877,1e-04,0.9923333525657654,0.02467438206076622
9,0.9945446252822876,0.017617691308259964,1e-04,0.9945416450500488,0.018857765942811966
10,0.9947232007980347,0.01590496301651001,1e-04,0.9926249980926514,0.02365056611597538
11,0.9952053427696228,0.015132359229028225,1e-04,0.9949166774749756,0.015901250764727592
12,0.9955178499221802,0.014300971291959286,1e-04,0.9932083487510681,0.0210331529378891
13,0.9957500100135803,0.013708755373954773,1e-04,0.9947500228881836,0.015187929384410381
14,0.9960089325904846,0.012572930194437504,1e-04,0.9914583563804626,0.028053581714630127
15,0.9961875081062317,0.011506681330502033,1e-04,0.9949583411216736,0.016758721321821213
16,0.9961428642272949,0.011582679115235806,1e-04,0.9938333630561829,0.02097899094223976
17,0.9962857365608215,0.010841643437743187,1e-04,0.9952916502952576,0.01753176562488079
18,0.9967053532600403,0.010356713086366653,1e-04,0.9948333501815796,0.01987266354262829
