epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9766517877578735,0.05528387054800987,1e-04,0.9937083125114441,0.016839060932397842
1,0.9926517605781555,0.01819835975766182,1e-04,0.9910416603088379,0.017662344500422478
2,0.9937678575515747,0.01557767204940319,1e-04,0.9959999918937683,0.009476924315094948
3,0.9944375157356262,0.013731822371482849,1e-04,0.9961666464805603,0.009475236758589745
4,0.994910717010498,0.012722699902951717,1e-04,0.9966250061988831,0.00862809456884861
5,0.9952232241630554,0.011495585553348064,1e-04,0.9955416917800903,0.00906323455274105
6,0.9953482151031494,0.011133508756756783,1e-04,0.9973333477973938,0.00622300710529089
7,0.9957143068313599,0.010675912722945213,1e-04,0.9977499842643738,0.005593335255980492
8,0.995741069316864,0.010082422755658627,1e-04,0.996833324432373,0.006498558912426233
9,0.9963482022285461,0.009415346197783947,1e-04,0.996958315372467,0.006604603957384825
10,0.99657142162323,0.008315620012581348,1e-04,0.9976249933242798,0.004925751592963934
11,0.9964910745620728,0.008997408673167229,1e-04,0.9975000023841858,0.006071869749575853
12,0.9965178370475769,0.008268536999821663,1e-04,0.996791660785675,0.006587659940123558
13,0.9963303804397583,0.008112906478345394,1e-04,0.9956250190734863,0.009688576683402061
14,0.9967142939567566,0.008361971005797386,1e-04,0.9975833296775818,0.005117902532219887
15,0.9969375133514404,0.007547080982476473,1e-04,0.996999979019165,0.0065194773487746716
